Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),Cooling:Electricity(kWh),Heating:Electricity(kWh),InteriorLights:Electricity(kWh),ExteriorLights:Electricity(kWh),InteriorEquipment:Electricity(kWh),Fans:Electricity(kWh),Pumps:Electricity(kWh),WaterSystems:Electricity(),HeatRejection:Electricity(kWh),HeatRejection:Gas(kBtu),Heating:Gas(kBtu),WaterSystems:Gas(kBtu),InteriorEquipment:Gas(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),1 ZONE VAV 1 CLG COIL(W),1 ZONE VAV 2 CLG COIL(W),1 ZONE VAV 3 CLG COIL(W),1 ZONE VAV 4 CLG COIL(W),1 ZONE VAV 5 CLG COIL(W),1 ZONE VAV CLG COIL(W),1 ZONE VAV 1 MAIN HTG COIL(W),1 ZONE VAV 2 MAIN HTG COIL(W),1 ZONE VAV 3 MAIN HTG COIL(W),1 ZONE VAV 4 MAIN HTG COIL(W),1 ZONE VAV 5 MAIN HTG COIL(W),1 ZONE VAV MAIN HTG COIL(W),BUILDING STORY 1 THERMALZONE REHEAT COIL(W),BUILDING STORY 2 THERMALZONE REHEAT COIL(W),BUILDING STORY 3 THERMALZONE REHEAT COIL(W),BUILDING STORY 4 THERMALZONE REHEAT COIL(W),BUILDING STORY 5 THERMALZONE REHEAT COIL(W),BUILDING STORY 6 THERMALZONE REHEAT COIL(W),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kVA),ElectricityProduced:Facility Apparent Power(kVA),Net Power(kW),Net Apparent Power(kVA),Ice Thermal Storage End Fraction(),Cooling Coil Ice Thermal Storage End Fraction()
2017/01/01 01:00:00,189.96400717252877,0,1375.0880461980282,30.508219898852172,0.0,16.276832904555846,34.5193707096774,73.2457480705014,7.547851108630467,27.183548418957024,0,0.6824360613544467,0,1375.0880461980282,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,13319.854213863906,13907.193918105535,18748.4810676346,13326.800210065252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91540.00545254664,97250.61910133962,33239.704330752786,59264.150184599974,0,0,189.96400717252877,189.96400717252877,0.0,211.07111908058752,0.0,189.96400717252877,211.07111908058752,0,0
2017/01/01 02:00:00,124.04195168473466,0,0.0,0.0,0.0,16.276832904555846,34.5193707096774,73.2457480705014,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,124.04195168473466,124.04195168473466,0.0,137.82439076081627,0.0,124.04195168473466,137.82439076081627,0,0
2017/01/01 03:00:00,194.5977105054506,0,1636.7796704503376,33.93049889753533,0.0,16.276832904555846,34.5193707096774,73.2457480705014,8.615008013089021,27.27412022529619,0,0.7361316847953806,0,1636.7796704503376,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,15425.334114718642,16156.114852494135,19058.097644627982,15883.972872649003,0.0,0.0,81.55384280850603,222.5900371495673,0.0,0.0,0.0,0.0,0.0,114227.32587306562,122945.99543772123,32542.48083528729,53635.8208014381,0,0,194.5977105054506,194.5977105054506,0.0,216.21967833938956,0.0,194.5977105054506,216.21967833938956,0,0
2017/01/01 04:00:00,124.04195168473466,0,0.0,0.0,0.0,16.276832904555846,34.5193707096774,73.2457480705014,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,124.04195168473466,124.04195168473466,0.0,137.82439076081627,0.0,124.04195168473466,137.82439076081627,0,0
2017/01/01 05:00:00,187.98740916178915,0,1095.1731312172856,28.979076599040066,0.0,16.276832904555846,34.5193707096774,73.2457480705014,7.2877680612864,27.031676368218218,0,0.6469364485098248,0,1088.32746987014,6.845661347145636,0,0,0,0,0,0,0,0,0,0,0,0.0,16569.776506455375,17415.95307335395,6513.209357307454,15424.06658119101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73307.20417895935,77239.41396117622,12230.818386209927,54166.56553984086,0,0,187.98740916178915,187.98740916178915,0.0,208.8748990686546,0.0,187.98740916178915,208.8748990686546,0,0
2017/01/01 06:00:00,127.52580719951405,0,0.0,0.0,0.0,16.276832904555846,34.5193707096774,76.72960358528081,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,127.52580719951405,127.52580719951405,0.0,141.6953413327934,0.0,127.52580719951405,141.6953413327934,0,0
2017/01/01 07:00:00,185.14572051777526,0,999.2140942628823,25.21052544871776,0.0,16.276832904555846,36.421720134292485,73.2457480705014,6.40294142675132,27.001203074373205,0,0.58674945858322,0,967.0047767808222,32.2093174820601,0,0,0,0,0,0,0,0,0,0,0,0.0,16110.22827289176,16947.48456517373,0.0,14961.890316912402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64187.999745254914,67646.04774148879,0.0,53367.65646163861,0,0,185.14572051777526,185.14572051777526,0.0,205.7174672419725,0.0,185.14572051777526,205.7174672419725,0,0
2017/01/01 08:00:00,166.5550362249243,0,148.07343849614114,11.364079242004111,0.0,16.276832904555846,36.421720134292485,73.2457480705014,2.212066586337701,26.71805413118477,0,0.31653515604799937,0,125.15193391889443,22.921504577246704,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,19148.02240479203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23999.117281774936,0.0,0,0,166.5550362249243,166.5550362249243,0.0,185.061151361027,0.0,166.5550362249243,185.061151361027,0,0
2017/01/01 09:00:00,148.66769940477403,0,1299.435631040519,25.059474214017644,0.0,16.276832904555846,0.0,73.2457480705014,6.402941426751319,27.11612806954767,0,0.5665747194001471,0,1268.823916100576,30.611714939942665,0,0,0,0,0,0,0,0,0,0,0,0.0,15666.102884286753,16386.57605210091,0.0,15649.780406578786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89233.39651856516,96072.64564811862,0.0,54574.45882811543,0,0,148.66769940477403,148.66769940477403,0.0,165.18633267197114,0.0,148.66769940477403,165.18633267197114,0,0
2017/01/01 10:00:00,89.53770959746585,0,22.931306288432967,0.0,0.0,16.276832904555846,0.0,73.2457480705014,0.0,0.015128622408612815,0,0.0,0,0.0,22.931306288432967,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,89.53770959746585,89.53770959746585,0.0,99.48634399718428,0.0,89.53770959746585,99.48634399718428,0,0
2017/01/01 11:00:00,149.59537038634147,0,1164.4616247746615,25.9934922658944,0.0,16.276832904555846,0.0,73.2457480705014,6.40294142675132,27.074059904635163,0,0.6022958140033404,0,1141.5193791279683,22.942245646692893,0,0,0,0,0,0,0,0,0,0,0,0.0,16566.432114790405,17373.980310093306,0.0,15855.077318366357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82361.73357951116,88785.68435719729,0.0,49413.09001809848,0,0,149.59537038634147,149.59537038634147,0.0,166.2170782070461,0.0,149.59537038634147,166.2170782070461,0,0
2017/01/01 12:00:00,89.53770959746585,0,31.39086131566028,0.0,0.0,16.276832904555846,0.0,73.2457480705014,0.0,0.015128622408612815,0,0.0,0,0.0,31.39086131566028,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,89.53770959746585,89.53770959746585,0.0,99.48634399718428,0.0,89.53770959746585,99.48634399718428,0,0
2017/01/01 13:00:00,160.93781613674167,0,1329.803831406319,34.89277688525505,0.0,16.276832904555846,0.0,73.2457480705014,8.615008013089021,27.126133116067862,0,0.7813171472725086,0,1298.3473685573956,31.456462848923607,0,0,0,0,0,0,0,0,0,0,0,0.0,16150.977033745266,16848.514315877306,19166.66222384489,16439.171913597536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92041.68183289599,99826.61128025629,20351.49807643344,40072.49432747006,0,0,160.93781613674167,160.93781613674167,0.0,178.81979570749075,0.0,160.93781613674167,178.81979570749075,0,0
2017/01/01 14:00:00,89.53770959746585,0,40.97077926227351,0.0,0.0,16.276832904555846,0.0,73.2457480705014,0.0,0.015128622408612815,0,0.0,0,0.0,40.97077926227351,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,89.53770959746585,89.53770959746585,0.0,99.48634399718428,0.0,89.53770959746585,99.48634399718428,0,0
2017/01/01 15:00:00,149.57889382060577,0,1117.0037012042098,25.98059185166853,0.0,16.276832904555846,0.0,73.2457480705014,6.40294142675132,27.048912349198464,0,0.6238672179302017,0,1085.5912655710295,31.412435633180607,0,0,0,0,0,0,0,0,0,0,0,0.0,16432.32818469542,17152.058502758136,0.0,16053.042699076432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79204.61450905674,85921.90059199759,0.0,43564.4351966432,0,0,149.57889382060577,149.57889382060577,0.0,166.19877091178418,0.0,149.57889382060577,166.19877091178418,0,0
2017/01/01 16:00:00,89.53770959746585,0,22.910178078679603,0.0,0.0,16.276832904555846,0.0,73.2457480705014,0.0,0.015128622408612813,0,0.0,0,0.0,22.910178078679603,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,89.53770959746585,89.53770959746585,0.0,99.48634399718428,0.0,89.53770959746585,99.48634399718428,0,0
2017/01/01 17:00:00,149.50995260638763,0,1318.3936035641973,25.845544493109237,0.0,16.276832904555846,0.0,73.2457480705014,6.402941426751319,27.120831875170015,0,0.6180538362997887,0,1295.4750543075036,22.91854925669353,0,0,0,0,0,0,0,0,0,0,0,0.0,16252.641151935542,16965.766684702543,0.0,16215.941861537834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95530.41712003763,103511.95033890982,0.0,47851.35453546604,0,0,149.50995260638763,149.50995260638763,0.0,166.1221695626529,0.0,149.50995260638763,166.1221695626529,0,0
2017/01/01 18:00:00,129.44328524653773,0,25.366733597416136,0.0,0.0,16.276832904555846,36.421720134292485,76.72960358528081,0.0,0.015128622408612815,0,0.0,0,0.0,25.366733597416136,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,129.44328524653773,129.44328524653773,0.0,143.82587249615304,0.0,129.44328524653773,143.82587249615304,0,0
