Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),NaturalGas:Facility(kBtu),Propane:Facility(kBtu),FuelOilNo2:Facility(kBtu),OtherFuels:Facility(kBtu),Cooling:Electricity(kWh),Heating:Electricity(kWh),InteriorLights:Electricity(kWh),ExteriorLights:Electricity(kWh),InteriorEquipment:Electricity(kWh),ExteriorEquipment:Electricity(),Fans:Electricity(kWh),Pumps:Electricity(kWh),WaterSystems:Electricity(),HeatRejection:Electricity(kWh),HeatRejection:NaturalGas(kBtu),Heating:NaturalGas(kBtu),WaterSystems:NaturalGas(kBtu),InteriorEquipment:NaturalGas(kBtu),HeatRejection:Propane(kBtu),Heating:Propane(kBtu),WaterSystems:Propane(kBtu),InteriorEquipment:Propane(kBtu),HeatRejection:FuelOilNo2(kBtu),Heating:FuelOilNo2(kBtu),WaterSystems:FuelOilNo2(kBtu),InteriorEquipment:FuelOilNo2(kBtu),HeatRejection:OtherFuels(kBtu),Heating:OtherFuels(kBtu),WaterSystems:OtherFuels(kBtu),InteriorEquipment:OtherFuels(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),1 ZONE VAV 1 CLG COIL(W),1 ZONE VAV 2 CLG COIL(W),1 ZONE VAV 3 CLG COIL(W),1 ZONE VAV 4 CLG COIL(W),1 ZONE VAV 5 CLG COIL(W),1 ZONE VAV CLG COIL(W),1 ZONE VAV 1 MAIN HTG COIL(W),1 ZONE VAV 2 MAIN HTG COIL(W),1 ZONE VAV 3 MAIN HTG COIL(W),1 ZONE VAV 4 MAIN HTG COIL(W),1 ZONE VAV 5 MAIN HTG COIL(W),1 ZONE VAV MAIN HTG COIL(W),BUILDING STORY 1 THERMALZONE REHEAT COIL(W),BUILDING STORY 2 THERMALZONE REHEAT COIL(W),BUILDING STORY 3 THERMALZONE REHEAT COIL(W),BUILDING STORY 4 THERMALZONE REHEAT COIL(W),BUILDING STORY 5 THERMALZONE REHEAT COIL(W),BUILDING STORY 6 THERMALZONE REHEAT COIL(W),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kVA),ElectricityProduced:Facility Apparent Power(kVA),Net Power(kW),Net Apparent Power(kVA),Ice Thermal Storage End Fraction(),,Cooling Coil Ice Thermal Storage End Fraction(),REopt:ElectricityProduced:Total(kw),REopt:Electricity:Load:Total(kw),REopt:Electricity:Grid:ToLoad(kw),REopt:Electricity:Grid:ToBattery(kw),REopt:Electricity:Storage:ToLoad(kw),REopt:Electricity:Storage:ToGrid(kw),REopt:Electricity:Storage:StateOfCharge(pct),REopt:ElectricityProduced:Generator:Total(kw),REopt:ElectricityProduced:Generator:ToBattery(kw),REopt:ElectricityProduced:Generator:ToLoad(kw),REopt:ElectricityProduced:Generator:ToGrid(kw),REopt:ElectricityProduced:PV:Total(kw),REopt:ElectricityProduced:PV:ToBattery(kw),REopt:ElectricityProduced:PV:ToLoad(kw),REopt:ElectricityProduced:PV:ToGrid(kw),REopt:ElectricityProduced:Wind:Total(kw),REopt:ElectricityProduced:Wind:ToBattery(kw),REopt:ElectricityProduced:Wind:ToLoad(kw),REopt:ElectricityProduced:Wind:ToGrid(kw)
1/1/2017 1:00,175.1705054,0,1489.676735,0,0,0,33.06839198,0,14.64914961,34.51937071,58.59659846,0,7.768301524,25.80470619,0,0.763986931,0,1489.676735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17643.25615,18609.41368,17295.64749,11454.72916,0,0,0,0,0,0,0,0,0,103812.9727,110537.0731,31953.58419,57766.00394,0,0,175.1705054,175.1705054,0,194.6338949,0,175.1705054,194.6338949,0,0.000465,0,0,175.1705,175.171,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2017 2:00,107.7651188,0,0,0,0,0,0,0,14.64914961,34.51937071,58.59659846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.7651188,107.7651188,0,119.7390209,0,107.7651188,119.7390209,0,175.1705,0,0,107.76512,107.765,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2017 3:00,174.0590041,0,1631.36174,0,0,0,31.66769734,0,14.64914961,34.51937071,58.59659846,0,8.047009043,25.85594804,0,0.723230909,0,1631.36174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15033.83221,15777.56388,17565.60377,13563.74985,0,0,37.28119634,170.4216499,0,0,0,0,0,114689.6945,123367.0219,30848.82429,53220.27629,0,0,174.0590041,174.0590041,0,193.3988935,0,174.0590041,193.3988935,0,107.76512,0,0,174.059,174.059,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2017 4:00,107.7651188,0,0,0,0,0,0,0,14.64914961,34.51937071,58.59659846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.7651188,107.7651188,0,119.7390209,0,107.7651188,119.7390209,0,174.059,0,0,107.76512,107.765,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2017 5:00,168.0619144,0,1095.762607,0,0,0,27.21133831,0,14.64914961,34.51937071,58.59659846,0,6.823910037,25.62268075,0,0.638866529,0,1088.916945,6.845661347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16180.93769,17029.21772,6014.368549,13304.62162,0,0,0,0,0,0,0,0,0,74529.09507,78628.91344,11589.59772,52444.70439,0,0,168.0619144,168.0619144,0,186.7354605,0,168.0619144,186.7354605,0,107.76512,0,0,168.06192,168.062,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2017 6:00,110.5522032,0,0,0,0,0,0,0,14.64914961,34.51937071,61.38368287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.5522032,110.5522032,0,122.8357813,0,110.5522032,122.8357813,0,168.06192,0,0,110.5522,110.552,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2017 7:00,165.5740092,0,962.5755317,0,0,0,23.73829624,0,14.64914961,36.42172013,58.59659846,0,6.0085107,25.5790604,0,0.580673708,0,930.3649466,32.2105851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15725.89616,16561.63753,0,12920.38138,0,0,0,0,0,0,0,0,0,61685.20717,65288.04592,0,51660.43647,0,0,165.5740092,165.5740092,0,183.9711214,0,165.5740092,183.9711214,0,110.5522,0,0,165.574,120.742,0,44.832,0,0.423944577,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2017 8:00,147.8797663,0,140.9211715,0,0,0,10.56354602,0,14.64914961,36.42172013,58.59659846,0,2.038498343,25.29948572,0,0.310768059,0,117.999569,22.92160251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17655.5234,0,0,0,0,0,0,0,0,0,0,0,0,22771.38326,0,0,0,147.8797663,147.8797663,0,164.3108515,0,147.8797663,164.3108515,0,120.742,0,15.903,147.90991,0,0,132.006,0,0.2,0,0,0,0,15.903,0,15.903,0,0,0,0,0
1/1/2017 9:00,128.9064974,0,1289.324334,0,0,0,23.39933298,0,14.64914961,0,58.59659846,0,6.0085107,25.69607044,0,0.556835207,0,1258.712695,30.61163911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15231.50722,15949.55004,0,13322.06086,0,0,0,0,0,0,0,0,0,90890.41477,97506.97143,0,50858.47281,0,0,128.9064974,128.9064974,0,143.2294415,0,128.9064974,143.2294415,0,0.00091,0,289.989,129.15666,0,0,0,0,0.445170815,0,0,0,0,289.989,160.833,129.156,0,0,0,0,0
1/1/2017 10:00,73.26087669,0,22.93127396,0,0,0,0,0,14.64914961,0,58.59659846,0,0,0.015128622,0,0,0,0,22.93127396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.26087669,73.26087669,0,81.4009741,0,73.26087669,81.4009741,0,0.00066,0,234.47,73.63683,0,0,0,0,0.69034163,0,0,0,0,234.47,160.833,73.637,0,0,0,0,0
1/1/2017 11:00,129.8939322,0,1162.404027,0,0,0,24.3852241,0,14.64914961,0,58.59659846,0,6.0085107,25.66026871,0,0.594180613,0,1139.461767,22.94226047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16096.45186,16897.40778,0,13669.20006,0,0,0,0,0,0,0,0,0,83062.02923,89819.64537,0,47317.43507,0,0,129.8939322,129.8939322,0,144.3265913,0,129.8939322,144.3265913,0,-0.00017,0,291.164,130.33113,0,0,0,0,0.935512444,0,0,0,0,291.164,160.833,130.331,0,0,0,0,0
1/1/2017 12:00,73.26087669,0,31.39087665,0,0,0,0,0,14.64914961,0,58.59659846,0,0,0.015128622,0,0,0,0,31.39087665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.26087669,73.26087669,0,81.4009741,0,73.26087669,81.4009741,0,0.00013,0,116.046,73.74189,0,0,0,0,1,0,0,0,0,116.046,42.304,73.742,0,0,0,0,0
1/1/2017 13:00,129.7624955,0,1247.584144,0,0,0,24.22473792,0,14.64914961,0,58.59659846,0,6.0085107,25.68531181,0,0.598186957,0,1216.127531,31.45661296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15723.79832,16424.50572,0,14176.89124,0,0,0,0,0,0,0,0,0,92956.91798,100688.6792,0,39329.21614,0,0,129.7624955,129.7624955,0,144.1805505,0,129.7624955,144.1805505,0,-0.00011,0,130.253,130.2534,0,0,0,0,1,0,0,0,0,130.253,0,130.253,0,0,0,0,0
1/1/2017 14:00,73.26087669,0,40.97076929,0,0,0,0,0,14.64914961,0,58.59659846,0,0,0.015128622,0,0,0,0,40.97076929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.26087669,73.26087669,0,81.4009741,0,73.26087669,81.4009741,0,0.0004,0,73.764,73.763565,0,0,0,0,1,0,0,0,0,73.764,0,73.764,0,0,0,0,0
1/1/2017 15:00,130.1299599,0,1102.733814,0,0,0,24.62853741,0,14.64914961,0,58.59659846,0,6.0085107,25.62966062,0,0.617503075,0,1071.311618,31.42219545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16157.68003,16913.61539,0,14074.55017,0,0,0,0,0,0,0,0,0,80311.53096,86722.08343,0,41220.51548,0,0,130.1299599,130.1299599,0,144.5888443,0,130.1299599,144.5888443,0,-0.000435,0,130.599,130.59872,0,0,0,0,1,0,0,0,0,130.599,0,130.599,0,0,0,0,0
1/1/2017 16:00,73.26087669,0,22.91036962,0,0,0,0,0,14.64914961,0,58.59659846,0,0,0.015128622,0,0,0,0,22.91036962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.26087669,73.26087669,0,81.4009741,0,73.26087669,81.4009741,0,-0.00028,0,73.697,73.697136,0,0,0,0,1,0,0,0,0,73.697,0,73.697,0,0,0,0,0
1/1/2017 17:00,129.7222524,0,1313.94666,0,0,0,24.15265895,0,14.64914961,0,58.59659846,0,6.0085107,25.7078511,0,0.607483595,0,1291.027531,22.9191287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15712.60167,16412.12528,0,14015.79086,0,0,0,0,0,0,0,0,0,96900.79449,104795.4274,0,44081.71374,0,0,129.7222524,129.7222524,0,144.135836,0,129.7222524,144.135836,0,0.000136,0,130.073,130.07324,0,0,0,0,1,0,0,0,0,130.073,0,130.073,0,0,0,0,0
1/1/2017 18:00,112.4696812,0,26.0115263,0,0,0,0,0,14.64914961,36.42172013,61.38368287,0,0,0.015128622,0,0,0,0,26.0115263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.4696812,112.4696812,0,124.9663125,0,112.4696812,124.9663125,0,0.00024,0,112.72,112.71985,0,0,0,0,1,0,0,0,0,112.72,0,112.72,0,0,0,0,0
1/1/2017 19:00,172.3070602,0,1688.482213,0,0,0,28.79524213,0,14.64914961,36.42172013,58.59659846,0,7.282572165,25.8815838,0,0.680193947,0,1684.448436,4.033776665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15448.53138,16106.94052,10545.19754,13859.49164,0,0,0,0,0,0,0,0,0,122359.8735,132508.0342,19268.5898,50157.4418,0,0,172.3070602,172.3070602,0,191.4522892,0,172.3070602,191.4522892,0,-0.00015,0,38.48,172.36925,133.889,0,0,0,1,0,0,0,0,38.48,0,38.48,0,0,0,0,0
1/1/2017 20:00,109.6674682,0,0,0,0,0,0,0,14.64914961,36.42172013,58.59659846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.6674682,109.6674682,0,121.8527424,0,109.6674682,121.8527424,0,133.88925,0,0,109.667465,109.667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2017 21:00,176.1555759,0,1638.894551,0,0,0,31.84047972,0,14.64914961,36.42172013,58.59659846,0,8.047009043,25.86609955,0,0.734519407,0,1638.894551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15165.32335,15863.06263,17633.70071,13684.03938,0,0,0,60.60670083,0,0,0,0,0,116448.1773,125345.3583,29452.94234,55536.77165,0,0,176.1555759,176.1555759,0,195.7284177,0,176.1555759,195.7284177,0,109.667465,0,0,176.15558,176.156,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2017 22:00,109.6674682,0,0,0,0,0,0,0,14.64914961,36.42172013,58.59659846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.6674682,109.6674682,0,121.8527424,0,109.6674682,121.8527424,0,176.15558,0,0,109.667465,109.667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2017 23:00,175.7259884,0,1967.3084,0,0,0,31.27066724,0,14.64914961,36.42172013,58.59659846,0,8.047009043,26.0256694,0,0.715174516,0,1960.462813,6.845587328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14636.06088,15278.69347,17637.69434,13564.36809,0,0,0,83.14309011,0,0,0,0,0,138746.3557,150081.6949,34670.5493,61114.7478,0,0,175.7259884,175.7259884,0,195.2510982,0,175.7259884,195.2510982,0,109.667465,0,0,175.72598,175.726,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2017 0:00,109.6674682,0,0,0,0,0,0,0,14.64914961,36.42172013,58.59659846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.6674682,109.6674682,0,121.8527424,0,109.6674682,121.8527424,0,175.72598,0,0,109.667465,109.667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2017 1:00,193.4761062,0,1707.312747,0,0,0,31.51057121,0,14.64914961,34.51937071,78.12879794,0,8.047009043,25.91293816,0,0.708269514,0,1707.312747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14870.86878,15593.62445,17613.19928,13561.37237,0,0,194.7918527,327.3356242,0,0,0,0,0,122809.7743,132214.793,31258.98509,58660.49088,0,0,193.4761062,193.4761062,0,214.9734513,0,193.4761062,214.9734513,0,109.667465,0,0,193.4761,193.476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2017 2:00,127.2973183,0,0,0,0,0,0,0,14.64914961,34.51937071,78.12879794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.2973183,127.2973183,0,141.4414647,0,127.2973183,141.4414647,0,193.4761,0,0,127.29732,127.297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2017 3:00,191.6214973,0,2131.628863,0,0,0,29.44425153,0,14.64914961,34.51937071,78.12879794,0,8.047009043,26.16121341,0,0.671705049,0,2131.628863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12957.84981,13511.99528,17677.35802,13113.55327,0,0,759.5731588,1073.414039,0,0,0,0,0,149562.587,161143.7339,40197.81588,68226.52498,0,0,191.6214973,191.6214973,0,212.9127748,0,191.6214973,212.9127748,0,127.29732,0,0,191.62149,191.621,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
